month,train_window,selected_strategy,selection_reason,matches,bets,active_days,staked,profit,roi_pct,max_drawdown,outcome_counts,available_capacity
2024-08,2024-02-01..2024-07-31,ABSTAIN,no candidate passed both training halves,552,0,0,0.0,0.0,0.0,0.0,{},3100.0
2024-09,2024-03-01..2024-08-31,ABSTAIN,no candidate passed both training halves,618,0,0,0.0,0.0,0.0,0.0,{},3000.0
2024-10,2024-04-01..2024-09-30,ABSTAIN,no candidate passed both training halves,645,0,0,0.0,0.0,0.0,0.0,{},3100.0
2024-11,2024-05-01..2024-10-31,ABSTAIN,no candidate passed both training halves,615,0,0,0.0,0.0,0.0,0.0,{},3000.0
2025-01,2024-07-01..2024-12-31,RC-A-balanced,fixed prior-six-month two-half rule,672,2,2,0.55,0.71,129.09,0.27,{'away': 2},3100.0
2025-02,2024-08-01..2025-01-31,ABSTAIN,no candidate passed both training halves,719,0,0,0.0,0.0,0.0,0.0,{},2800.0
2025-03,2024-09-01..2025-02-28,ABSTAIN,no candidate passed both training halves,704,0,0,0.0,0.0,0.0,0.0,{},3100.0
2025-04,2024-10-01..2025-03-31,RC-A-balanced,fixed prior-six-month two-half rule,753,0,0,0.0,0.0,0.0,0.0,{},3000.0
2025-05,2024-11-01..2025-04-30,ABSTAIN,no candidate passed both training halves,516,0,0,0.0,0.0,0.0,0.0,{},3100.0
2025-08,2025-02-01..2025-07-31,ABSTAIN,no candidate passed both training halves,608,0,0,0.0,0.0,0.0,0.0,{},3100.0
2025-09,2025-03-01..2025-08-31,ABSTAIN,no candidate passed both training halves,588,0,0,0.0,0.0,0.0,0.0,{},3000.0
2025-10,2025-04-01..2025-09-30,ABSTAIN,no candidate passed both training halves,615,0,0,0.0,0.0,0.0,0.0,{},3100.0
2025-11,2025-05-01..2025-10-31,ABSTAIN,no candidate passed both training halves,674,0,0,0.0,0.0,0.0,0.0,{},3000.0
2026-01,2025-07-01..2025-12-31,ABSTAIN,no candidate passed both training halves,726,0,0,0.0,0.0,0.0,0.0,{},3100.0
2026-02,2025-08-01..2026-01-31,ABSTAIN,no candidate passed both training halves,750,0,0,0.0,0.0,0.0,0.0,{},2800.0
2026-03,2025-09-01..2026-02-28,RC-A-balanced,fixed prior-six-month two-half rule,669,20,9,7.56,-0.08,-1.06,1.72,"{'away': 18, 'home': 2}",3100.0
