month,decision,reason,prior_candidates,candidate_count,probability_validation,selected,mean_predicted_ev
2017-01,ABSTAIN,no_candidates,,,,,
2017-02,ABSTAIN,no_candidates,,,,,
2017-03,ABSTAIN,no_candidates,,,,,
2017-04,ABSTAIN,no_candidates,,,,,
2017-05,ABSTAIN,model_did_not_beat_market_on_prior_validation,2487.0,90.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2340, 'validation_rows': 147, 'market': {'matches': 49, 'log_loss': 0.930699, 'brier': 0.55271}, 'model': {'matches': 49, 'log_loss': 0.929834, 'brier': 0.552844}, 'log_loss_improvement': 0.000865, 'brier_improvement': -0.000134, 'selected_tail': {'bets': 11, 'profit_units': 1.27, 'hit_rate': 0.454545, 'average_market_probability': 0.390343, 'edge_vs_market_probability': 0.064203, 'passed': False}}",,
2017-06,ABSTAIN,insufficient_prior_validation_rows,2397.0,210.0,"{'passed': False, 'reason': 'insufficient_prior_validation_rows', 'fit_rows': 2280, 'validation_rows': 117}",,
2017-07,ABSTAIN,selected_tail_did_not_show_prior_edge,2577.0,204.0,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 2277, 'validation_rows': 300, 'market': {'matches': 100, 'log_loss': 0.973555, 'brier': 0.574825}, 'model': {'matches': 100, 'log_loss': 0.97237, 'brier': 0.572127}, 'log_loss_improvement': 0.001185, 'brier_improvement': 0.002698, 'selected_tail': {'bets': 21, 'profit_units': -4.93, 'hit_rate': 0.285714, 'average_market_probability': 0.373, 'edge_vs_market_probability': -0.087285, 'passed': False}}",,
2017-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,2781.0,153.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2277, 'validation_rows': 504, 'market': {'matches': 168, 'log_loss': 1.042314, 'brier': 0.622901}, 'model': {'matches': 168, 'log_loss': 1.05806, 'brier': 0.63061}, 'log_loss_improvement': -0.015746, 'brier_improvement': -0.007709, 'selected_tail': {'bets': 38, 'profit_units': -19.92, 'hit_rate': 0.184211, 'average_market_probability': 0.379104, 'edge_vs_market_probability': -0.194893, 'passed': False}}",,
2017-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,2934.0,102.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2277, 'validation_rows': 657, 'market': {'matches': 219, 'log_loss': 1.068022, 'brier': 0.638755}, 'model': {'matches': 219, 'log_loss': 1.088457, 'brier': 0.647924}, 'log_loss_improvement': -0.020435, 'brier_improvement': -0.009169, 'selected_tail': {'bets': 53, 'profit_units': -27.56, 'hit_rate': 0.188679, 'average_market_probability': 0.380239, 'edge_vs_market_probability': -0.19156, 'passed': False}}",,
2017-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,3036.0,171.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2277, 'validation_rows': 759, 'market': {'matches': 253, 'log_loss': 1.076412, 'brier': 0.644719}, 'model': {'matches': 253, 'log_loss': 1.098098, 'brier': 0.654929}, 'log_loss_improvement': -0.021686, 'brier_improvement': -0.01021, 'selected_tail': {'bets': 61, 'profit_units': -26.83, 'hit_rate': 0.213115, 'average_market_probability': 0.379341, 'edge_vs_market_probability': -0.166226, 'passed': False}}",,
